Campaign,Campaign Type,Networks,Budget,Bid Strategy Type,Campaign Status,Languages,Location
1L Search - Phone & Carrier API,Search,Google search,63.00,Manual CPC,Paused,en,United States;Canada
1L Search - Email Verification,Search,Google search,53.00,Manual CPC,Paused,en,United States;Canada
1L Search - New Products,Search,Google search,59.00,Manual CPC,Paused,en,United States;Canada
1L Search - Competitors,Search,Google search,43.00,Manual CPC,Paused,en,United States;Canada
1L Search - Free Tools,Search,Google search,26.00,Manual CPC,Paused,en,United States;Canada
1L Search - Brand,Search,Google search,7.00,Manual CPC,Paused,en,United States;Canada
